English,Dutch,German,Swedish,Danish,Icelandic,Gothic,Proto-Germanic
,,,,,,𐌰𐍄𐍃𐍄𐌰𐌽𐌳𐌰𐌽,atstandaną
dad,ette,,,,,𐌰𐍄𐍄𐌰,attô
,,,,,auðugur,𐌰𐌿𐌳𐌰𐌲𐍃,audagaz
,,,,,auðga,,audagōną
,,,öde,,auðið,,audanaz
edrick,,,,,,,audarīks
,,otakar,,,,𐌰𐌿𐌳𐌰𐍅𐌰𐌺𐍂𐍃,audawakraz
edward,,,,,játvarður,,audawarduz
edwin,,otwin,,,auðunn,,audawiniz
,,,,,auðólfur,,audawulfaz
,,,öd,,auður,,audaz
,ogen,äugen,,,eygja,𐌰𐌿𐌲𐌾𐌰𐌽,augijaną
,,,ögna,øjne,,,augnijaną
eye,oog,auge,öga,øje,auga,𐌰𐌿𐌲𐍉,augô
eke,ook,auch,och,og,auk,𐌰𐌿𐌺,auk
eke,oken,,öka,øge,auka,𐌰𐌿𐌺𐌰𐌽,aukaną
,,,,,,𐌰𐌿𐌺𐌽𐌰𐌽,auknaną
eke,,,,øge,auki,,aukô
eke,,,öka,øge,auka,,aukōną
ean,onen,,öna,,,,aunōną
,,,ör,ør,aur,,auraz
,,,ör,ør,eyri,,aurī
,,,öre,øre,eyrir,,aurijaz
,hozen,,ösa,øse,ausa,,ausaną
ear,oor,ohr,öra,øre,eyra,𐌰𐌿𐍃𐍉,ausô
,,,östan,,austan,,austanē
east,oost,ost,öster,øster,austur,,austrą
east,,,,,,,austraz
easter,,ostern,,,,,austrǭ
,,ostermonat,,,,,austrōmēnōþs
eastern,,,,,austrænn,,austrōnijaz
,,,,,,𐌰𐌿𐌶𐌰𐌽𐌳𐌹𐌻,auziwandilaz
,,öden,öda,,eyða,,auþijaną
,,öde,öken,ørken,auður,𐌰𐌿𐌸𐌴𐌹𐍃,auþijaz
eath,olijk,ööd,,,auð,,auþuz
,,,åda,,æður,,awadī
eam,oom,oheim,,,,,awahaimaz
,,,,,,𐌰𐍅𐌴𐌸𐌹,awidiją
,,,,,,𐌰𐍅𐌹𐍃𐍄𐍂,awistrą
